comuna,titulo,leychileCode,numero,fechaPublicacion,url,url_minvu
LA UNION,DEJA SIN EFECTO LA RESOLUCION Nº. 4 DE 1989 Y MODIFICA PLAN REGULADOR COMUNAL DE LA UNION,95587,9,1989-12-06,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-9_06-DIC-1989&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=95587.1989-12-06.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2837/4.9a89c.14201.pdf
LA UNION,APRUEBA PLAN REGULADOR COMUNAL DE LA UNION,,77,1982-06-26,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2836/4.77a82d.14201.pdf
LAGO RANCO,"APRUEBA MODIFICACION AL PLAN REGULADOR COMUNAL DE LAGO RANCO, SECCIONAL IGNAO",262923,74-afecta,2007-07-21,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-74-afecta_21-JUL-2007&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=262923.2007-07-21.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2889/4.74b01c.14203.pdf
LAGO RANCO,"APRUEBA MODIFICACION AL PLAN REGULADOR COMUNAL LAGO RANCO, SECTOR EX-ESTACION FERROVIARIA",213523,34-afecta,2003-08-13,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-34-afecta_13-AGO-2003&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=213523.2003-08-13.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2890/4.34b03c.14203.pdf
LAGO RANCO,APRUEBA PLAN REGULADOR COMUNAL DE LAGO RANCO,32739,62-afecta,1996-04-27,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-62-afecta_27-ABR-1996&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=32739.1996-04-27.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2888/4.62a95a.14203.pdf
LAJA,Fija Nuevas Normas Urbanisticas a Terrenos Desafectados de D. U. P.,,6611,2015-10-07,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2132/4.6611b15b.08304.pdf
LAJA,2° Modificación (Rectifica Enmienda Zona ZED),,598,2013-03-08,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2130/4.598b13b.08304.pdf
LAJA,1° Modificación (Enmienda Zona ZED),,2777,2011-10-24,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2129/4.2777b11b.08304.pdf
LAJA,PROMULGA 'PLAN REGULADOR COMUNAL DE LAJA',279906,106,2008-10-16,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-106_16-OCT-2008&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=279906.2008-10-16.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2128/4.106b08d.08304.pdf
LANCO,APRUEBA PLAN REGULADOR COMUNAL DE LANCO,210838,16-afecta,2003-05-30,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-16-afecta_30-MAY-2003&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=210838.2003-05-30.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2845/4.16b03c.14103.pdf
LANCO,Plano General de Edificación y Urbanización de Malalhue,,2013,1943-12-31,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2844/4.2013a43c.14103.pdf
LAS CABRAS,APRUEBA PLAN REGULADOR COMUNAL DE LAS CABRAS.,10231,159,1987-12-03,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-159_03-DIC-1987&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=10231.1987-12-03.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3304/4.159a87b.06107.pdf
LAS CONDES,MODIFICA PLAN REGULADOR COMUNAL,,3591,2022-11-04,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3629/4.3591b65b.13114.pdf
LAS CONDES,"PLAN SECCIONAL ZONA DE REMODELACIÓN CERRO COLORADO, COMUNA DE LAS CONDES, SEGÚN LO DISPUESTO EN EL ARTÍCULO 72° DE LA LEY GENERAL DE URBANISMO Y CONSTRUCCIONES",,1022-2020,2020-08-26,,https://instrumentosdeplanificacion.minvu.cl/files/maps/899/5.1022-2020b20b.13114.pdf
LAS CONDES,Asignacion normas a DUP caducas,,3709,2018-06-15,,https://instrumentosdeplanificacion.minvu.cl/files/maps/672/4.3709b18b.13114.pdf
LAS CONDES,Correción publicación del 18.12.2017,,3084,2018-05-15,,https://instrumentosdeplanificacion.minvu.cl/files/maps/601/4.3084b18b.13114.pdf
LAS CONDES,DUP caducas en vías de circulación,,8676,2017-12-27,,https://instrumentosdeplanificacion.minvu.cl/files/maps/862/4.8676b17b.13114.pdf
LAS CONDES,Modifica publicación del 21.02.2014,,1022,2017-02-18,,https://instrumentosdeplanificacion.minvu.cl/files/maps/310/4.1022b17b.13114.pdf
LAS CONDES,Modifica vialidades,,1132,2015-11-12,,https://instrumentosdeplanificacion.minvu.cl/files/maps/338/4.1132b15b.13114.pdf
LAS CONDES,Rectifica publicación del 25.01.2011,,966,2014-03-21,,https://instrumentosdeplanificacion.minvu.cl/files/maps/882/4.966b14c.13114.pdf
LAS CONDES,Asigna normas a polígono con DUP caducas,,4675,2013-11-13,,https://instrumentosdeplanificacion.minvu.cl/files/maps/740/4.4675b13b.13114.pdf
LAS CONDES,Modificación normativa y vialidad,,729,2011-01-28,,https://instrumentosdeplanificacion.minvu.cl/files/maps/827/4.729b11c.13114.pdf
LAS CONDES,ASIGNA A 60 VÍAS DE LA COMUNA DE LAS CONDES LAS NUEVAS NORMAS URBANÍSTICAS DE EDIFICACIÓN Y USOS DE SUELO,1016231,3360,2010-08-14,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-3360_14-AGO-2010&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1016231.2010-08-14.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/642/4.3360b10c.13114.pdf
LAS CONDES,"Modif. Zonas, Usos y Vialidades",,173,2010-01-19,,https://instrumentosdeplanificacion.minvu.cl/files/maps/453/4.173b10c.13114.pdf
LAS CONDES,Complementa publicación del 05.10.2006,,2483,2009-05-25,,https://instrumentosdeplanificacion.minvu.cl/files/maps/546/4.2483b09b.13114.pdf
LAS CONDES,PS_Hermanos Cabot,,1071,2008-02-08,,https://instrumentosdeplanificacion.minvu.cl/files/maps/902/5.1071b08c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL NUEVA LAS CONDES,264733,3904,2007-09-20,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-3904_20-SEP-2007&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=264733.2007-09-20.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/959/5.3904b07c.13114.pdf
LAS CONDES,PS Portal La Reina,,3905,2007-09-20,,https://instrumentosdeplanificacion.minvu.cl/files/maps/960/5.3905b07b.13114.pdf
LAS CONDES,"Modifi. Zonas_E-e1, U-VO, U-V, U-M",,3193,2007-08-02,,https://instrumentosdeplanificacion.minvu.cl/files/maps/612/4.3193b07c.13114.pdf
LAS CONDES,PS_Centro comercial Mall Plaza,,2974,2007-07-13,,https://instrumentosdeplanificacion.minvu.cl/files/maps/949/5.2974b07b.13114.pdf
LAS CONDES,"LLAMA A PARTICIPAR PARA OPTAR A LAS TABLAS DE DENSIFICACION SECTOR LO FONTECILLA, CONTENIDAS EN;ARTICULO 38 DE LA ORDENANZA DEL PLAN REGULADOR COMUNAL DE LAS CONDES",253843,3684,2006-10-05,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-3684_05-OCT-2006&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=253843.2006-10-05.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/668/4.3684b06b.13114.pdf
LAS CONDES,APRUEBA PLAN SECCIONAL DE LA ZONA USO SUELO METROPOLITANO PS-U-M,,4480,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/723/4.4480b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO COMERCIAL 2 PS-U-C2,,4475,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/718/4.4475b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO COMERCIAL 3 PS-U-C3,,4476,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/719/4.4476b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO ESPECIAL 1 PS-U-Ee1,,4477,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/720/4.4477b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO ESPECIAL 2 PS-U-Ee2,,4478,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/721/4.4478b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO ESPECIAL 5 PS-U-Ee5,,4479,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/722/4.4479b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO VIVIENDA 1 PS-U-V1,,4484,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/728/4.4484b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO VIVIENDA 2 PS-U-V2,,4485,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/729/4.4485b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO VIVIENDA 3 PS-U-V3,,4486,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/730/4.4486b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA DE USO DE SUELO VIVIENDA Y OFICINA PS-U-VO,,4482,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/726/4.4482b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE LA ZONA USO DE SUELO DE VIVIENDA PS-U-V,,4483,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/727/4.4483b04c.13114.pdf
LAS CONDES,APRUEBA PLANO SECCIONAL DE VIALIDAD PS-V-01,,4481,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/725/4.4481b04c.13114.pdf
LAS CONDES,Modif. Uso de suelo Comercial 1,,4474,2005-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/717/4.4474b04c.13114.pdf
